cell_id,west,south,east,north,occurrence_count
gh5-00040,-169.62890625,-14.150390625,-169.5849609375,-14.1064453125,324
gh5-00041,-170.771484375,-14.23828125,-170.7275390625,-14.1943359375,303
gh5-00042,-170.6396484375,-14.8974609375,-170.595703125,-14.853515625,217
gh5-00043,-169.716796875,-14.23828125,-169.6728515625,-14.1943359375,201
gh5-00044,-170.68359375,-14.3701171875,-170.6396484375,-14.326171875,169
gh5-00045,-170.8154296875,-14.1943359375,-170.771484375,-14.150390625,166
gh5-00046,-170.0244140625,-15,-169.98046875,-14.9853515625,163
gh5-00047,-169.0576171875,-14.1943359375,-169.013671875,-14.150390625,153
gh5-00048,-170.0244140625,-14.5458984375,-169.98046875,-14.501953125,98
gh5-00049,-170.771484375,-14.853515625,-170.7275390625,-14.8095703125,97
gh5-00050,-169.541015625,-14.326171875,-169.4970703125,-14.2822265625,95
gh5-00051,-169.6728515625,-14.1064453125,-169.62890625,-14.0625,79
gh5-00052,-169.541015625,-14.1943359375,-169.4970703125,-14.150390625,52
gh5-00053,-170.0244140625,-14.0185546875,-169.98046875,-14,44
gh5-00054,-169.541015625,-14.150390625,-169.4970703125,-14.1064453125,43
